#Position (bp)	insert size	chromosomes
4.061445565E8	15714.765804965447	0.0
4.113183725E8	11516.411928551808	533258.5910655439
4.164921885E8	12068.08209128277	0.0
4.216660045E8	7996.045216275599	0.0
4.268398205E8	5038.101678877809	533258.5910655439
4.320136365E8	3135.3619466444193	0.0
4.371874525E8	3921.454216343493	0.0
4.423612685E8	4822.987509123056	533258.5910655439
4.475350845E8	4178.331904680051	0.0
4.527089005E8	5138.429988647371	0.0
4.578827165E8	3066.2221059892236	533258.5910655439
4.630565325E8	3253.877645099279	0.0
4.682303485E8	1480.2674569277685	0.0
4.734041645E8	702.8871502621927	533258.5910655439
4.785779805E8	512.0801664935589	0.0
4.823234295E8	287.21803852889667	0.0
4.849103375E8	77586.32064053978	533258.5910655439
4.889256125E8	34683.59490703622	0.0
4.940994285E8	23521.289577419095	0.0
4.992732445E8	31893.780176298773	533258.5910655439
5.044470605E8	16793.580927147243	0.0
5.096208765E8	26754.297343325947	0.0
5.147946925E8	18352.366919570948	533258.5910655439
5.199685085E8	16940.063057205378	0.0
5.251423245E8	13729.04980394299	0.0
5.303161405E8	12225.663941038687	533258.5910655439
5.354899565E8	13492.094467735404	0.0
5.406637725E8	11791.166312185562	0.0
5.458375885E8	9062.225725584838	533258.5910655439
5.510114045E8	9509.51447350226	0.0
5.561852205E8	7770.961191152531	0.0
5.613590365E8	7797.733190818071	533258.5910655439
5.665328525E8	7721.764643653872	0.0
5.717066685E8	6796.96978180209	0.0
5.768804845E8	4710.733172989322	533258.5910655439
5.820543005E8	4987.307525300694	0.0
5.872281165E8	4765.424805050608	0.0
5.924019325E8	2748.600720571691	533258.5910655439
5.975757485E8	2083.4949568303623	0.0
6.027495645E8	1719.994661335473	0.0
6.079233805E8	1836.9855570251646	533258.5910655439
6.130971965E8	1586.970455963367	0.0
6.182710125E8	1241.3672517705413	0.0
6.234448285E8	1512.4359536593988	533258.5910655439
6.286186445E8	470.0707864549923	0.0
6.337924605E8	702.3163313807185	0.0
6.389662765E8	586.0671251034714	533258.5910655439
6.441400925E8	318.542614113929	0.0
6.493139085E8	309.5200925795448	0.0
6.520379055E8	280.22953629705484	533258.5910655439
6.546248135E8	533258.5910655439	0.0
6.596615405E8	519902.9802933141	0.0
6.648353565E8	494904.38809274166	533258.5910655439
6.700091725E8	384660.90140334796	0.0
6.751829885E8	316609.8932492832	0.0
6.803568045E8	274216.04872931173	533258.5910655439
6.855306205E8	203239.3610093088	0.0
6.907044365E8	222286.59971052862	0.0
6.958782525E8	178205.7706755026	533258.5910655439
7.010520685E8	236471.42328119217	0.0
7.062258845E8	227300.7249065358	0.0
7.113997005E8	148385.36451787813	533258.5910655439
7.165735165E8	200712.90642474248	0.0
7.217473325E8	145520.6659546249	0.0
7.269211485E8	140048.14045273856	533258.5910655439
7.320949645E8	149074.2133382736	0.0
7.372687805E8	144547.41659121084	0.0
7.424425965E8	138182.24226221893	533258.5910655439
7.476164125E8	161826.89747090338	0.0
7.527902285E8	142010.80419894104	0.0
7.579640445E8	157139.25395916277	533258.5910655439
7.631378605E8	128488.70113418854	0.0
7.683116765E8	129337.62747047968	0.0
7.734854925E8	197888.23680136423	533258.5910655439
7.786593085E8	95190.49912690435	0.0
7.838331245E8	121003.81317488806	0.0
7.890069405E8	138842.59742436532	533258.5910655439
7.941807565E8	132711.16057158398	0.0
7.993545725E8	108457.63923567063	0.0
8.045283885E8	110544.19266154086	533258.5910655439
8.097022045E8	85660.91466830323	0.0
8.148760205E8	74098.5050622578	0.0
8.200498365E8	91043.77437755997	533258.5910655439
8.252236525E8	112126.83833397366	0.0
8.303974685E8	121054.7127568756	0.0
8.355712845E8	90168.62341647325	533258.5910655439
8.407451005E8	83724.56204813122	0.0
8.459189165E8	121847.1609920705	0.0
8.510927325E8	110204.86803205924	533258.5910655439
8.562665485E8	134043.90679228952	0.0
8.614403645E8	97640.73188052088	0.0
8.666141805E8	70893.20936645777	533258.5910655439
8.717879965E8	183295.38338870925	0.0
8.769618125E8	130250.83122952814	0.0
8.821356285E8	84184.34216514001	533258.5910655439
8.873094445E8	87417.35623329588	0.0
8.924832605E8	91293.37014397774	0.0
8.976570765E8	95245.92265968848	533258.5910655439
9.028308925E8	80146.91948255086	0.0
9.080047085E8	93046.98712041193	0.0
9.131785245E8	73881.2346259596	533258.5910655439
9.183523405E8	64614.83622750652	0.0
9.235261565E8	59475.67234319747	0.0
9.286999725E8	52508.80040671363	533258.5910655439
9.338737885E8	60786.285603039956	0.0
9.390476045E8	36995.69150420617	0.0
9.442214205E8	30455.51204154967	533258.5910655439
9.493952365E8	26949.68284476595	0.0
9.545690525E8	25573.202694590324	0.0
9.597428685E8	42181.210042261046	533258.5910655439
9.649166845E8	20387.42408434586	0.0
9.700905005E8	15219.631552938054	0.0
