#Insert size (bp)	insert size
481.0	141984.0
482.0	140900.0
483.0	140498.0
484.0	138204.0
485.0	137475.0
486.0	135635.0
487.0	134503.0
488.0	133303.0
489.0	132211.0
490.0	130706.0
491.0	129683.0
492.0	128838.0
493.0	127107.0
494.0	125981.0
495.0	124752.0
496.0	123372.0
497.0	122740.0
498.0	121137.0
499.0	119760.0
500.0	119151.0
501.0	117562.0
502.0	117010.0
503.0	115940.0
504.0	114341.0
505.0	113224.0
506.0	112315.0
507.0	110980.0
508.0	109789.0
509.0	109558.0
510.0	107260.0
511.0	107023.0
512.0	105439.0
513.0	104456.0
514.0	103115.0
515.0	101605.0
516.0	100548.0
517.0	99698.0
518.0	99171.0
519.0	97674.0
520.0	97111.0
521.0	96104.0
522.0	95109.0
523.0	93766.0
524.0	93183.0
525.0	92340.0
526.0	91066.0
527.0	90979.0
528.0	89025.0
529.0	88695.0
530.0	88207.0
531.0	87168.0
532.0	86425.0
533.0	85303.0
534.0	85081.0
535.0	83536.0
536.0	82169.0
537.0	81757.0
538.0	81457.0
539.0	80549.0
540.0	79816.0
541.0	79177.0
542.0	78223.0
543.0	77571.0
544.0	76633.0
545.0	75826.0
546.0	75383.0
547.0	74473.0
548.0	74096.0
549.0	72536.0
550.0	72450.0
551.0	71358.0
552.0	70660.0
553.0	69776.0
554.0	69297.0
555.0	68829.0
556.0	67737.0
557.0	66759.0
558.0	66626.0
559.0	65985.0
560.0	65006.0
561.0	64503.0
562.0	63440.0
563.0	62785.0
564.0	61828.0
565.0	61154.0
566.0	60337.0
567.0	59724.0
568.0	59040.0
569.0	58864.0
570.0	58012.0
571.0	57504.0
572.0	57123.0
573.0	56358.0
574.0	55934.0
575.0	55023.0
576.0	54582.0
577.0	53951.0
578.0	53675.0
579.0	53102.0
580.0	52899.0
581.0	51714.0
582.0	51659.0
583.0	51093.0
584.0	50852.0
585.0	50024.0
586.0	49326.0
587.0	48836.0
588.0	48492.0
589.0	47398.0
590.0	47031.0
591.0	46920.0
592.0	46494.0
593.0	45473.0
594.0	45253.0
595.0	44801.0
596.0	44168.0
597.0	44150.0
598.0	43664.0
599.0	43064.0
600.0	42863.0
601.0	42169.0
602.0	41488.0
603.0	41336.0
604.0	40156.0
605.0	39738.0
606.0	39193.0
607.0	38982.0
608.0	38444.0
609.0	38409.0
610.0	37538.0
611.0	37270.0
612.0	37245.0
613.0	36472.0
614.0	36164.0
615.0	35748.0
616.0	35363.0
617.0	35102.0
618.0	34541.0
619.0	34084.0
620.0	34142.0
621.0	33382.0
622.0	33310.0
623.0	33213.0
624.0	32334.0
625.0	32464.0
626.0	32041.0
627.0	31648.0
628.0	31146.0
629.0	31056.0
630.0	30547.0
631.0	30336.0
632.0	30049.0
633.0	29846.0
634.0	28991.0
635.0	28926.0
636.0	28549.0
637.0	28246.0
638.0	27936.0
639.0	27709.0
640.0	27350.0
641.0	26925.0
642.0	26757.0
643.0	26256.0
644.0	25591.0
645.0	25767.0
646.0	25077.0
647.0	25451.0
648.0	24932.0
649.0	24377.0
650.0	24220.0
651.0	23840.0
652.0	23416.0
653.0	23588.0
654.0	23307.0
655.0	23039.0
656.0	22867.0
657.0	22612.0
658.0	22356.0
659.0	22203.0
660.0	21720.0
661.0	21368.0
662.0	21414.0
663.0	20805.0
664.0	20934.0
665.0	20315.0
666.0	20479.0
667.0	20151.0
668.0	19951.0
669.0	19873.0
670.0	19363.0
671.0	19045.0
672.0	19159.0
673.0	18726.0
674.0	18398.0
675.0	18494.0
676.0	17795.0
677.0	17564.0
678.0	17161.0
