#Insert size (bp)	insert size
554.0	89919.0
555.0	88583.0
556.0	88946.0
557.0	87882.0
558.0	87123.0
559.0	86155.0
560.0	85431.0
561.0	84867.0
562.0	84082.0
563.0	83457.0
564.0	83019.0
565.0	82348.0
566.0	81332.0
567.0	80186.0
568.0	79328.0
569.0	79420.0
570.0	77959.0
571.0	77663.0
572.0	76881.0
573.0	75995.0
574.0	75361.0
575.0	75184.0
576.0	74786.0
577.0	73839.0
578.0	73376.0
579.0	72546.0
580.0	71874.0
581.0	70913.0
582.0	70416.0
583.0	70510.0
584.0	69468.0
585.0	69491.0
586.0	68155.0
587.0	67693.0
588.0	66963.0
589.0	65820.0
590.0	65218.0
591.0	64745.0
592.0	64498.0
593.0	63501.0
594.0	62227.0
595.0	62484.0
596.0	61905.0
597.0	60757.0
598.0	60540.0
599.0	59917.0
600.0	59044.0
601.0	58760.0
602.0	58036.0
603.0	57204.0
604.0	57124.0
605.0	56521.0
606.0	55753.0
607.0	55632.0
608.0	54936.0
609.0	54200.0
610.0	53995.0
611.0	53691.0
612.0	53111.0
613.0	52424.0
614.0	52376.0
615.0	51866.0
616.0	50630.0
617.0	50348.0
618.0	50105.0
619.0	49811.0
620.0	49014.0
621.0	48539.0
622.0	48439.0
623.0	47900.0
624.0	47418.0
625.0	46655.0
626.0	46531.0
627.0	46466.0
628.0	45698.0
629.0	45450.0
630.0	44754.0
631.0	44378.0
632.0	44238.0
633.0	43809.0
634.0	43483.0
635.0	42386.0
636.0	42280.0
637.0	42213.0
638.0	41689.0
639.0	41699.0
640.0	40842.0
641.0	40267.0
642.0	40407.0
643.0	39596.0
644.0	39003.0
645.0	38348.0
646.0	37993.0
647.0	37954.0
648.0	37506.0
649.0	37005.0
650.0	37128.0
651.0	36742.0
652.0	36072.0
653.0	35419.0
654.0	35578.0
655.0	35154.0
656.0	34990.0
657.0	34200.0
658.0	33986.0
659.0	33600.0
660.0	33273.0
661.0	32977.0
662.0	32601.0
663.0	32213.0
664.0	31764.0
665.0	31573.0
666.0	31097.0
667.0	31542.0
668.0	30820.0
669.0	30406.0
670.0	30082.0
671.0	29539.0
672.0	29438.0
673.0	29201.0
674.0	29174.0
675.0	28540.0
676.0	28574.0
677.0	28091.0
678.0	27569.0
679.0	27374.0
680.0	27370.0
681.0	26863.0
682.0	26631.0
683.0	26743.0
684.0	26178.0
685.0	26221.0
686.0	25720.0
687.0	25205.0
688.0	25297.0
689.0	24712.0
690.0	24765.0
691.0	24258.0
692.0	24095.0
693.0	23974.0
694.0	23650.0
695.0	23580.0
696.0	23058.0
697.0	22844.0
698.0	22640.0
699.0	22235.0
700.0	22261.0
701.0	21775.0
702.0	21617.0
703.0	21328.0
704.0	21346.0
705.0	20703.0
706.0	20966.0
707.0	20286.0
708.0	20313.0
709.0	19958.0
710.0	20008.0
711.0	19749.0
712.0	19125.0
713.0	19155.0
714.0	19165.0
715.0	18605.0
716.0	18346.0
717.0	18377.0
718.0	18025.0
719.0	17799.0
720.0	17672.0
721.0	17755.0
722.0	17541.0
723.0	17218.0
724.0	17198.0
725.0	17025.0
726.0	16958.0
727.0	16695.0
728.0	16477.0
729.0	16016.0
730.0	16014.0
731.0	15764.0
732.0	15841.0
733.0	15621.0
734.0	15478.0
735.0	15322.0
736.0	14762.0
737.0	14897.0
738.0	14692.0
739.0	14567.0
740.0	14298.0
741.0	14164.0
742.0	14282.0
743.0	13830.0
744.0	13796.0
745.0	13552.0
746.0	13390.0
747.0	13338.0
748.0	12983.0
749.0	12925.0
750.0	12888.0
751.0	12625.0
752.0	12523.0
753.0	12368.0
754.0	12142.0
755.0	12025.0
756.0	12026.0
757.0	11782.0
758.0	11860.0
759.0	11560.0
760.0	11496.0
761.0	11441.0
762.0	11253.0
763.0	11158.0
764.0	10733.0
765.0	10953.0
766.0	10675.0
767.0	10429.0
768.0	10360.0
769.0	10398.0
770.0	10225.0
771.0	10044.0
772.0	9938.0
773.0	9646.0
774.0	9890.0
775.0	9441.0
776.0	9440.0
777.0	9183.0
778.0	9257.0
779.0	9078.0
780.0	8912.0
781.0	8766.0
782.0	8507.0
783.0	8569.0
784.0	8395.0
785.0	8498.0
786.0	8311.0
