#Position (bp)	mapping quality
1.455113722E9	0.0
1.4552707885E9	0.0
1.4554260495E9	0.0
1.455579934E9	0.0
1.4557323775E9	0.0
1.4558840695E9	0.0
1.4560335785E9	0.0
1.4561805565E9	0.0
1.456323842E9	0.0
1.4564639545E9	0.0
1.4566031245E9	0.0
1.4567407675E9	0.0
1.456877058E9	0.0
1.457012944E9	0.0
1.4571458465E9	0.0
1.45727575E9	0.0
1.45740535E9	0.0
1.4575345845E9	0.0
1.4576628165E9	0.0
1.457789841E9	0.0
1.457916243E9	0.0
1.4580424135E9	0.0
1.458166698E9	0.0
1.4582888625E9	0.0
1.4584101875E9	0.0
1.458530464E9	0.0
1.4586499655E9	0.0
1.458768974E9	0.0
1.4588873735E9	0.0
1.458981243E9	0.0
1.4590379465E9	0.0
1.459116151E9	0.0
1.4592278825E9	0.0
1.4593384345E9	0.0
1.45944875E9	0.0
1.4595583745E9	0.0
1.459667337E9	0.0
1.4597759645E9	0.0
1.4598837445E9	0.0
1.459990724E9	0.0
1.460095789E9	0.0
1.4601989665E9	0.0
1.460301645E9	0.0
1.460403974E9	0.0
1.4605052115E9	0.0
1.460605256E9	0.0
1.4607050395E9	0.0
1.4608042615E9	0.0
1.4609024215E9	0.0
1.4609995645E9	0.0
1.461096222E9	0.0
1.461192295E9	0.0
1.461287789E9	0.0
1.4613815225E9	0.0
1.461473124E9	0.0
1.4615641115E9	0.0
1.4616545075E9	0.0
1.461744501E9	0.0
1.461834469E9	0.0
1.461924136E9	0.0
1.462013262E9	0.0
1.4621018715E9	0.0
1.462190052E9	0.0
1.462278088E9	0.0
1.4623660525E9	0.0
1.462453646E9	0.0
1.4625403745E9	0.0
1.462626589E9	0.0
1.4627127045E9	0.0
1.4627981565E9	0.0
1.4628827705E9	0.0
1.462966956E9	0.0
1.4630510115E9	0.0
1.463134927E9	0.0
1.463218774E9	0.0
1.4633023375E9	0.0
1.46338548E9	0.0
1.463468142E9	0.0
1.4635504135E9	0.0
1.4636325945E9	0.0
1.463714703E9	0.0
1.463796391E9	0.0
1.463877603E9	0.0
1.46395871E9	0.0
1.4640394975E9	0.0
1.464119782E9	0.0
1.4641748715E9	0.0
1.4642148715E9	0.0
1.464279823E9	0.0
1.464359729E9	0.0
1.4644394325E9	0.0
1.4645190265E9	0.0
1.4645981735E9	0.0
1.464676805E9	0.0
1.4647552865E9	0.0
1.464833581E9	0.0
1.464911704E9	0.0
1.464989731E9	0.0
1.465067448E9	0.0
1.465144729E9	0.0
1.4652216595E9	0.0
1.4652981775E9	0.0
1.4653743825E9	0.0
1.4654503885E9	0.0
1.465526243E9	0.0
1.4656015175E9	0.0
1.4656759405E9	0.0
1.4657496E9	0.0
1.4658225005E9	0.0
1.465895043E9	0.0
1.4659675185E9	0.0
1.466039805E9	0.0
1.4661117355E9	0.0
1.4661832985E9	0.0
1.466254626E9	0.0
1.4663257255E9	0.0
1.466396518E9	0.0
1.4664671285E9	0.0
1.4665376735E9	0.0
1.4666082055E9	0.0
1.466678705E9	0.0
1.466748923E9	0.0
1.466818757E9	0.0
1.4668883745E9	0.0
1.466957778E9	0.0
1.467027038E9	0.0
1.4670962625E9	0.0
1.467165214E9	0.0
1.467233775E9	0.0
1.4673021245E9	0.0
1.4673703545E9	0.0
1.4674383995E9	0.0
1.4675062585E9	0.0
1.4675739715E9	0.0
1.4676414985E9	0.0
1.467708901E9	0.0
1.467776213E9	0.0
1.46784344E9	0.0
1.467910435E9	0.0
1.4679771755E9	0.0
1.468043677E9	0.0
1.4681099365E9	0.0
1.4681760955E9	0.0
1.46824219E9	0.0
1.4683081735E9	0.0
1.4683740325E9	0.0
1.468439794E9	0.0
1.46850528E9	0.0
1.468570459E9	0.0
1.468635518E9	0.0
1.4687005415E9	0.0
1.4687655415E9	0.0
1.4688305115E9	0.0
1.4688954335E9	0.0
1.4689603E9	0.0
1.4690251405E9	0.0
1.4690899665E9	0.0
1.469154765E9	0.0
1.4692194505E9	0.0
1.469283971E9	0.0
1.4693399695E9	0.0
1.469372153E9	0.0
1.469412738E9	0.0
1.4694770555E9	0.0
1.469541331E9	0.0
1.4696055825E9	0.0
1.46966977E9	0.0
1.4697338815E9	0.0
1.469797862E9	0.0
1.4698617325E9	0.0
1.4699255605E9	0.0
1.469989333E9	0.0
1.4700530585E9	0.0
1.4701167525E9	0.0
1.470180317E9	0.0
1.470243755E9	0.0
1.470307189E9	0.0
1.470370611E9	0.0
1.4704339855E9	0.0
1.470496952E9	0.0
1.4705595045E9	0.0
1.4706219125E9	0.0
1.4706842135E9	0.0
1.4707465085E9	0.0
1.47080879E9	0.0
1.4708710415E9	0.0
1.4709332695E9	0.0
1.47099544E9	0.0
1.471057448E9	0.0
1.471119294E9	0.0
1.4711810885E9	0.0
1.4712428095E9	0.0
1.4713044435E9	0.0
1.47136602E9	0.0
1.4714275425E9	0.0
1.471489006E9	0.0
1.4715503865E9	0.0
1.471611813E9	0.0
1.4716731615E9	0.0
1.471734327E9	0.0
1.471795384E9	0.0
1.4718563315E9	0.0
1.471917239E9	0.0
1.471978021E9	0.0
1.472038683E9	0.0
1.472099319E9	0.0
1.4721598115E9	0.0
1.4722201535E9	0.0
1.472280467E9	0.0
1.4723407465E9	0.0
1.4724009875E9	0.0
1.4724610955E9	0.0
1.4725209245E9	0.0
